DATE,Federal Funds Effective,Federal Surplus/Deficit,CPI (Inflation),Unemployment Rate,Federal Tax Receipts,Foreign Direct Investment,GDP by Billion
2014-04-01,0.09103225806451613,15800.333333333334,2.0233333333333334,6.2,1903.372,316280.0,17518.508
2014-07-01,0.08912186379928315,-39165.0,2.03,6.066666666666666,1900.394,424204.0,17804.228
2014-10-01,0.10120430107526883,-58889.0,2.356666666666667,5.7,1933.008,401432.0,17912.079
2015-01-01,0.11281874039938555,-86755.01997678667,2.11,5.533333333333334,2017.75,956604.0,18063.529
2015-04-01,0.12563082437275985,42034.85467391667,2.81,5.433333333333334,2045.283,374936.0,18279.784
2015-07-01,0.13479569892473117,-40848.91831032666,2.1866666666666665,5.1000000000000005,2026.616,254312.0,18401.626
2015-10-01,0.1606200716845878,-71842.98274912,2.1266666666666665,5.033333333333333,2013.189,349540.0,18435.137
2016-01-01,0.360111234705228,-81831.14797675,2.49,4.8999999999999995,2001.701,566720.0,18525.933
2016-04-01,0.3693870967741935,20065.482144100002,3.0700000000000003,4.933333333333334,2011.666,606940.0,18711.702
2016-07-01,0.3949068100358423,-62189.106709859996,2.5766666666666667,4.8999999999999995,2036.51,475284.0,18892.639
2016-10-01,0.4477060931899641,-69452.85814632,2.1733333333333333,4.766666666666667,2034.647,271120.0,19089.379
2017-01-01,0.6975307219662058,-105673.20433350334,2.8800000000000003,4.566666666666666,1943.31,393588.0,19280.084
2017-04-01,0.9478064516129033,1256.290737286666,1.8533333333333333,4.366666666666667,1982.371,315376.0,19438.643
2017-07-01,1.1536917562724012,-47542.69048187334,2.42,4.333333333333333,2021.546,282788.0,19692.595
2017-10-01,1.2041612903225807,-74985.00509108666,2.6,4.166666666666667,2051.989,308540.0,20037.088
2018-01-01,1.4460483870967742,-124918.56717478666,2.7133333333333334,4.033333333333333,1987.756,132968.0,20328.553
2018-04-01,1.7373333333333332,-2466.4400539366616,2.8466666666666662,3.9333333333333336,2017.635,-36956.0,20580.912
2018-07-01,1.9265017921146954,-57298.915423646664,2.2466666666666666,3.766666666666667,2039.255,419264.0,20798.73
2018-10-01,2.219867383512545,-106311.01952418666,3.08,3.8333333333333335,2069.109,350384.0,20917.867
2019-01-01,2.401720430107527,-124079.71595657,3.1533333333333338,3.8666666666666667,2083.23,266372.0,21104.133
2019-04-01,2.3974336917562726,-18646.733630340008,2.8833333333333333,3.6333333333333333,2096.405,259956.0,21384.775
2019-07-01,2.190569892473118,-79090.83221927,2.6933333333333334,3.6,2103.13,206888.0,21694.282
2019-10-01,1.6446594982078853,-118859.47223565668,2.8633333333333333,3.6,2170.01,293536.0,21902.39
2020-01-01,1.2620022246941047,-129017.88620007667,2.9633333333333334,3.8333333333333335,2168.958,99852.0,21706.513
2020-04-01,0.0588888888888889,-666915.36774368,2.183333333333333,13.0,1987.868,75584.0,19913.143
2020-07-01,0.09258064516129033,-129232.43330713,2.3266666666666667,8.799999999999999,2171.673,131360.0,21647.64
2020-10-01,0.08877777777777777,-190966.3760472733,1.5599999999999998,6.733333333333333,2304.488,145908.0,22024.502
2021-01-01,0.0768509984639017,-377782.0168042633,2.23,6.233333333333333,2456.931,255556.0,22600.185
